Month,Revenue,Expenses,Current_Assets,Current_Liabilities,Total_Assets,Total_Debt,Inventory,Accounts_Receivable,Accounts_Payable
2024-01,1500000,1200000,800000,400000,2000000,600000,300000,200000,150000
2024-02,1650000,1280000,850000,420000,2100000,620000,320000,220000,160000
2024-03,1800000,1350000,900000,450000,2200000,640000,350000,250000,170000
2024-04,1750000,1320000,880000,440000,2150000,630000,340000,240000,165000
2024-05,1900000,1400000,950000,480000,2300000,660000,380000,270000,180000
2024-06,2100000,1550000,1000000,500000,2500000,700000,400000,300000,200000
2024-07,2200000,1600000,1050000,520000,2600000,720000,420000,320000,210000
2024-08,2000000,1480000,980000,490000,2400000,680000,390000,290000,195000
2024-09,2300000,1650000,1100000,550000,2700000,750000,450000,350000,220000
2024-10,2500000,1800000,1200000,600000,2900000,800000,500000,400000,240000
2024-11,2800000,1950000,1300000,650000,3100000,850000,550000,450000,260000
2024-12,3000000,2100000,1400000,700000,3300000,900000,600000,500000,280000
